employee_id,age,department,job_role,salary,years_at_company,years_in_role,overtime,satisfaction_score,commute_distance,promotion_count,training_hours,performance_score,attrition
EMP_00001,40,Engineering,DevOps Specialist,118600,4,1,No,3,,0,20.0,2,0
EMP_00002,34,Sales,Account Executive,102200,3,1,No,2,6.0,0,45.0,3,0
EMP_00003,31,Engineering,Tech Lead,157800,0,0,No,3,3.9,0,50.0,1,0
EMP_00004,26,Sales,Account Executive,120500,4,1,Yes,5,31.9,1,30.0,4,0
EMP_00005,22,Engineering,DevOps Specialist,105200,2,1,Yes,3,18.8,0,19.0,2,1
EMP_00006,41,Product & Design,Product Manager,142300,4,4,Yes,3,13.1,3,9.0,3,0
EMP_00007,49,Product & Design,Product Manager,141000,3,2,Yes,1,5.2,1,32.0,3,1
EMP_00008,36,Engineering,Tech Lead,202900,5,5,Yes,3,6.9,1,23.0,3,1
EMP_00009,47,Engineering,Tech Lead,262400,8,0,Yes,3,5.3,2,24.0,5,0
EMP_00010,37,Engineering,Senior Engineer,175100,5,0,Yes,3,13.6,3,0.0,3,0
EMP_00011,28,Engineering,Software Engineer,109000,4,2,No,3,1.5,1,44.0,3,1
EMP_00012,43,Human Resources,HR Specialist,68100,5,1,No,1,24.1,1,37.0,4,0
EMP_00013,45,Engineering,QA Analyst,80800,0,0,No,4,6.7,0,29.0,4,0
EMP_00014,52,Engineering,Senior Engineer,117800,2,1,No,2,8.5,0,22.0,1,0
EMP_00015,23,Sales,Sales Director,220100,1,1,No,5,18.4,0,18.0,3,0
EMP_00016,36,Engineering,Tech Lead,243100,6,0,No,4,5.4,2,53.0,5,0
EMP_00017,27,Engineering,Software Engineer,111100,3,3,Yes,3,2.7,1,21.0,5,0
EMP_00018,36,Engineering,DevOps Specialist,112100,1,1,Yes,3,1.1,0,13.0,2,1
EMP_00019,29,Operations,Customer Support Specialist,45600,3,0,No,3,1.4,1,25.0,1,0
EMP_00020,45,Engineering,DevOps Specialist,98400,2,2,Yes,3,2.6,0,12.0,3,0
EMP_00021,32,Engineering,Software Engineer,107700,11,1,Yes,5,,1,29.0,3,0
EMP_00022,53,Engineering,Software Engineer,105000,1,0,Yes,3,3.1,0,21.0,5,0
EMP_00023,36,Operations,Supply Chain Lead,104700,3,3,No,4,2.5,4,37.0,3,0
EMP_00024,40,Engineering,DevOps Specialist,105900,0,0,Yes,1,1.8,0,38.0,3,1
EMP_00025,40,Engineering,DevOps Specialist,124200,0,0,No,3,10.2,0,25.0,3,0
EMP_00026,40,Operations,Operations Analyst,66700,1,1,No,2,9.4,0,0.0,3,0
EMP_00027,33,Operations,Customer Support Specialist,71300,13,8,No,4,18.1,4,20.0,4,1
EMP_00028,27,Operations,Customer Support Specialist,58800,5,5,No,3,2.7,4,9.0,4,0
EMP_00029,21,Engineering,Software Engineer,76600,1,1,No,4,5.4,0,40.0,3,0
EMP_00030,32,Product & Design,Product Analyst,88100,4,3,No,4,37.3,2,30.0,3,1
EMP_00031,29,Sales,Sales Representative,67500,9,3,No,1,3.0,4,16.0,3,1
EMP_00032,50,Engineering,Tech Lead,224700,5,2,Yes,5,33.9,2,36.0,4,0
EMP_00033,35,Engineering,Software Engineer,116300,15,1,Yes,2,1.9,4,46.0,1,0
EMP_00034,53,Product & Design,UX Designer,121800,8,0,No,3,13.3,1,9.0,3,0
EMP_00035,44,Product & Design,Product Analyst,91900,15,0,No,3,15.3,10,21.0,2,0
EMP_00036,53,Human Resources,HR Specialist,61600,0,0,No,2,44.1,0,3.0,3,0
EMP_00037,39,Engineering,Tech Lead,158000,0,0,No,3,3.1,0,16.0,3,0
EMP_00038,28,Sales,Account Executive,119700,8,0,No,4,2.9,2,30.0,3,0
EMP_00039,50,Product & Design,UX Designer,87100,0,0,No,5,9.4,0,25.0,3,0
EMP_00040,27,Engineering,Senior Engineer,132500,3,3,No,2,8.1,0,44.0,3,0
EMP_00041,21,Sales,Sales Representative,56900,1,1,No,2,5.4,0,40.0,3,0
EMP_00042,24,Product & Design,Product Analyst,95700,4,0,No,5,10.4,0,27.0,4,0
EMP_00043,44,Sales,Account Executive,83400,0,0,No,3,2.3,0,18.0,3,0
EMP_00044,43,Sales,Sales Representative,58700,2,1,No,3,13.7,0,56.0,3,0
EMP_00045,39,Product & Design,UX Designer,124600,12,0,No,2,3.5,2,20.0,4,0
EMP_00046,33,Engineering,DevOps Specialist,130200,3,3,No,4,7.4,1,5.0,3,0
EMP_00047,21,Engineering,Tech Lead,181600,1,1,Yes,4,15.9,0,18.0,3,0
EMP_00048,45,Product & Design,Product Manager,158300,9,1,No,4,3.9,3,39.0,2,0
EMP_00049,25,Engineering,DevOps Specialist,118900,2,0,No,5,2.2,0,19.0,2,0
EMP_00050,27,Product & Design,Product Manager,152300,5,0,No,5,,2,58.0,4,0
EMP_00051,27,Product & Design,Product Manager,123200,2,2,No,3,28.6,0,30.0,3,0
EMP_00052,36,Engineering,DevOps Specialist,161400,11,1,No,2,2.8,2,18.0,5,0
EMP_00053,37,Engineering,Tech Lead,166800,1,0,Yes,3,1.7,0,26.0,3,0
EMP_00054,49,Sales,Sales Director,176800,0,0,Yes,4,26.0,0,44.0,3,0
EMP_00055,29,Sales,Sales Representative,66000,5,0,No,2,4.0,0,19.0,3,0
EMP_00056,32,Sales,Sales Representative,62000,0,0,Yes,1,15.6,0,31.0,3,0
EMP_00057,33,Engineering,Senior Engineer,156700,7,1,No,4,10.2,3,26.0,2,0
EMP_00058,39,Product & Design,UX Designer,103600,4,0,No,5,3.1,0,8.0,3,0
EMP_00059,32,Engineering,Senior Engineer,135700,1,1,Yes,4,10.4,0,20.0,3,0
EMP_00060,46,Operations,Operations Analyst,70500,0,0,No,3,5.8,0,16.0,3,0
EMP_00061,21,Operations,Operations Analyst,71000,1,0,No,4,2.8,0,26.0,5,0
EMP_00062,56,Human Resources,Recruiter,64300,2,0,Yes,1,1.1,0,24.0,5,0
EMP_00063,37,Human Resources,HR Specialist,90900,9,3,No,5,1.4,5,11.0,5,0
EMP_00064,37,Engineering,DevOps Specialist,104900,5,0,No,4,1.6,0,44.0,4,0
EMP_00065,37,Sales,Sales Representative,64800,1,1,Yes,3,18.2,0,22.0,3,0
EMP_00066,22,Engineering,Senior Engineer,143000,2,0,Yes,3,1.8,0,59.0,4,0
EMP_00067,28,Engineering,QA Analyst,60900,0,0,Yes,2,1.5,0,37.0,3,0
EMP_00068,25,Product & Design,Product Analyst,86200,3,3,Yes,3,3.9,4,26.0,4,1
EMP_00069,32,Product & Design,UX Designer,117900,6,3,No,2,9.5,0,13.0,3,1
EMP_00070,52,Engineering,Software Engineer,83200,0,0,Yes,3,15.6,0,16.0,4,1
EMP_00071,42,Sales,Sales Representative,64100,0,0,No,3,20.2,0,15.0,3,0
EMP_00072,25,Product & Design,Product Manager,132000,0,0,No,2,2.2,0,16.0,4,0
EMP_00073,32,Operations,Supply Chain Lead,127900,6,0,No,3,12.0,3,17.0,5,0
EMP_00074,23,Product & Design,UX Designer,93400,2,2,No,2,18.1,0,34.0,4,0
EMP_00075,46,Human Resources,Recruiter,68500,0,0,No,5,2.5,0,9.0,4,0
EMP_00076,35,Operations,Operations Analyst,68800,0,0,No,4,21.2,0,19.0,3,0
EMP_00077,34,Engineering,DevOps Specialist,117200,4,1,No,3,3.9,0,35.0,4,0
EMP_00078,48,Engineering,Software Engineer,74900,0,0,No,3,18.5,0,34.0,1,0
EMP_00079,23,Engineering,Software Engineer,107800,3,0,No,3,7.2,0,35.0,3,0
EMP_00080,32,Human Resources,HR Specialist,70700,8,4,No,1,48.5,0,27.0,3,0
EMP_00081,36,Engineering,QA Analyst,84900,9,0,No,4,13.2,4,18.0,1,0
EMP_00082,43,Operations,Supply Chain Lead,103600,4,4,No,3,17.8,1,21.0,3,0
EMP_00083,57,Sales,Sales Representative,53600,1,1,No,4,1.5,0,22.0,3,0
EMP_00084,46,Sales,Sales Representative,68600,0,0,Yes,3,15.3,0,22.0,4,0
EMP_00085,59,Engineering,Software Engineer,80100,0,0,No,3,12.7,0,32.0,4,0
EMP_00086,22,Product & Design,UX Designer,89700,0,0,No,2,8.5,0,34.0,4,0
EMP_00087,24,Sales,Account Executive,94900,2,2,Yes,3,6.6,0,40.0,3,0
EMP_00088,29,Sales,Account Executive,82800,0,0,No,5,5.9,0,44.0,3,0
EMP_00089,33,Human Resources,HR Director,150700,0,0,Yes,3,1.4,0,32.0,4,0
EMP_00090,26,Engineering,Senior Engineer,149400,2,1,No,1,40.8,0,9.0,3,0
EMP_00091,29,Engineering,DevOps Specialist,120000,0,0,Yes,2,4.2,0,34.0,5,1
EMP_00092,35,Product & Design,Product Analyst,121900,12,3,Yes,4,1.5,4,27.0,5,0
EMP_00093,21,Product & Design,UX Designer,91700,1,1,No,4,19.7,0,16.0,3,1
EMP_00094,26,Sales,Sales Representative,63300,2,2,No,3,1.2,0,13.0,3,0
EMP_00095,31,Sales,Account Executive,103400,1,1,No,3,11.3,0,,3,0
EMP_00096,41,Engineering,DevOps Specialist,127100,10,0,No,3,8.3,1,17.0,2,0
EMP_00097,29,Engineering,QA Analyst,88500,9,4,No,4,4.8,1,46.0,3,0
EMP_00098,40,Product & Design,Product Manager,143500,4,4,No,3,21.1,3,24.0,3,0
EMP_00099,29,Product & Design,Product Analyst,88300,4,1,No,4,2.1,1,31.0,3,0
EMP_00100,34,Sales,Sales Representative,56100,0,0,Yes,3,7.4,0,48.0,3,1
EMP_00101,21,Sales,Account Executive,90500,0,0,No,2,3.8,0,34.0,3,0
EMP_00102,34,Engineering,DevOps Specialist,108700,1,1,No,2,3.3,0,26.0,3,0
EMP_00103,47,Engineering,QA Analyst,64700,0,0,No,4,4.9,0,36.0,1,0
EMP_00104,39,Engineering,QA Analyst,94900,11,2,No,2,17.8,3,15.0,4,0
EMP_00105,31,Sales,Sales Director,264500,11,5,No,3,9.5,3,37.0,3,0
EMP_00106,45,Engineering,Software Engineer,102000,1,0,Yes,2,10.4,0,29.0,5,0
EMP_00107,38,Engineering,DevOps Specialist,130200,7,3,No,3,1.9,0,26.0,3,0
EMP_00108,38,Engineering,DevOps Specialist,97000,0,0,No,3,3.3,0,27.0,3,0
EMP_00109,30,Sales,Sales Representative,66600,5,0,No,3,2.5,4,24.0,3,0
EMP_00110,44,Product & Design,Product Manager,135800,2,2,No,2,18.2,0,48.0,3,1
EMP_00111,35,Product & Design,Product Manager,110000,0,0,No,4,8.4,0,34.0,2,0
EMP_00112,28,Sales,Account Executive,99700,2,2,Yes,1,32.5,0,31.0,3,1
EMP_00113,22,Sales,Sales Director,217800,2,1,No,1,7.4,0,,5,0
EMP_00114,47,Sales,Account Executive,87400,2,2,No,5,5.8,0,42.0,4,0
EMP_00115,37,Engineering,QA Analyst,80000,1,1,No,1,4.3,0,30.0,3,1
EMP_00116,35,Engineering,DevOps Specialist,101800,3,3,Yes,5,6.1,2,7.0,3,0
EMP_00117,38,Engineering,Tech Lead,175200,1,1,No,4,4.2,0,37.0,4,0
EMP_00118,50,Human Resources,HR Director,160600,1,1,No,3,2.3,0,20.0,4,0
EMP_00119,43,Engineering,Tech Lead,198700,4,0,Yes,3,7.3,0,38.0,4,0
EMP_00120,25,Engineering,Tech Lead,168000,2,2,Yes,3,11.5,0,,4,0
EMP_00121,43,Product & Design,UX Designer,98300,5,3,Yes,3,,2,37.0,3,0
EMP_00122,32,Engineering,QA Analyst,70200,0,0,No,4,,0,25.0,3,0
EMP_00123,43,Sales,Sales Director,149200,3,0,Yes,4,18.1,0,21.0,3,1
EMP_00124,43,Engineering,QA Analyst,85100,0,0,No,4,3.1,0,27.0,3,0
EMP_00125,52,Product & Design,Product Analyst,71000,0,0,No,1,20.6,0,46.0,1,1
EMP_00126,21,Sales,Sales Director,191800,1,1,No,3,14.5,0,22.0,4,0
EMP_00127,39,Engineering,Software Engineer,74400,0,0,No,5,1.6,0,14.0,2,0
EMP_00128,27,Engineering,Senior Engineer,155600,7,0,Yes,3,5.7,1,40.0,3,1
EMP_00129,33,Sales,Sales Director,203800,7,4,No,2,5.1,3,39.0,3,1
EMP_00130,50,Operations,Operations Analyst,77200,8,3,No,3,7.7,0,12.0,2,0
EMP_00131,41,Sales,Sales Director,157700,0,0,No,3,18.0,0,52.0,2,0
EMP_00132,28,Sales,Sales Representative,69300,4,0,No,3,10.0,0,17.0,4,0
EMP_00133,45,Product & Design,Product Analyst,85400,2,2,No,2,4.7,0,34.0,3,0
EMP_00134,48,Operations,Supply Chain Lead,93500,0,0,No,3,27.0,0,23.0,4,0
EMP_00135,28,Engineering,QA Analyst,102600,8,1,Yes,5,,1,41.0,5,1
EMP_00136,29,Engineering,DevOps Specialist,138800,9,1,No,5,12.6,2,14.0,4,0
EMP_00137,30,Engineering,QA Analyst,73700,1,1,No,4,5.8,0,23.0,3,0
EMP_00138,47,Human Resources,Recruiter,58000,1,0,No,2,53.8,0,38.0,3,1
EMP_00139,40,Product & Design,Product Manager,127700,9,4,Yes,3,23.0,5,30.0,3,0
EMP_00140,43,Engineering,Senior Engineer,181000,15,0,Yes,2,4.4,11,29.0,2,1
EMP_00141,39,Engineering,Software Engineer,101200,4,4,Yes,2,1.4,0,38.0,4,1
EMP_00142,46,Engineering,DevOps Specialist,129000,3,0,No,1,1.9,1,27.0,3,1
EMP_00143,46,Engineering,DevOps Specialist,142700,5,0,No,3,34.1,1,48.0,3,0
EMP_00144,41,Engineering,Software Engineer,81600,0,0,No,2,7.6,0,55.0,3,0
EMP_00145,33,Sales,Sales Representative,73200,7,2,Yes,3,5.7,3,18.0,2,0
EMP_00146,36,Engineering,DevOps Specialist,112000,2,1,No,5,11.3,0,,3,0
EMP_00147,43,Human Resources,HR Director,154600,0,0,No,4,13.0,0,34.0,4,0
EMP_00148,28,Engineering,Software Engineer,109800,8,3,No,5,23.8,3,20.0,3,0
EMP_00149,38,Engineering,Software Engineer,105100,2,0,No,5,3.7,0,50.0,4,0
EMP_00150,34,Sales,Sales Representative,59400,1,1,No,3,20.0,0,6.0,4,0
EMP_00151,48,Human Resources,HR Specialist,55400,0,0,Yes,4,5.6,0,65.0,5,1
EMP_00152,39,Sales,Sales Representative,67200,5,2,No,3,2.7,1,22.0,3,0
EMP_00153,26,Engineering,Tech Lead,172000,0,0,No,2,2.4,0,23.0,4,0
EMP_00154,38,Operations,Operations Analyst,81400,4,0,No,4,8.1,0,12.0,5,0
EMP_00155,24,Product & Design,Product Manager,138500,4,2,Yes,3,8.4,1,17.0,3,0
EMP_00156,44,Sales,Sales Representative,65300,2,2,Yes,5,15.1,0,41.0,4,1
EMP_00157,34,Product & Design,Product Manager,188400,14,1,No,3,8.5,4,13.0,3,0
EMP_00158,38,Product & Design,Product Analyst,110800,14,0,No,3,11.8,5,51.0,3,0
EMP_00159,30,Engineering,QA Analyst,78600,1,1,Yes,5,20.4,0,38.0,3,0
EMP_00160,40,Product & Design,Product Manager,136800,6,5,No,1,6.8,1,25.0,3,1
